IO3_minus_M,I_minus_M,classification,bdf_classification,radau_classification,solver_agreement_status,tolerance_convergence_status,complete_cycle_count,cycle_periods_s,cycle_iodide_amplitudes_M,cycle_iodine_amplitudes_M,final_cycle_period_mean_s,period_cv,period_drift,iodide_min_M,iodide_max_M,iodide_amplitude_M,iodide_relative_amplitude,iodine_peak_M,iodine_amplitude_M,iodide_amplitude_drift,iodine_amplitude_drift,iodide_resolution_floor_M,iodide_resolution_score,reason
0.015,1e-06,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,11,"[461.38450994868026, 461.3829636917974, 461.38304503443374, 461.38229064963457, 461.38260411384, 461.3831331853794, 461.38293567018354, 461.38365285978625, 461.38330262677573, 461.38339546634415, 461.3829265200775]","[8.41536328886952e-06, 8.41536340261142e-06, 8.41536321067087e-06, 8.415363242716845e-06, 8.415363412921538e-06, 8.41536328991713e-06, 8.41536321530953e-06, 8.415363214402167e-06, 8.415363392890884e-06, 8.415363228020539e-06, 8.415363391937814e-06]","[0.00010820832937560301, 0.00010820833158819326, 0.00010820832705649947, 0.00010820832732072382, 0.00010820833125430668, 0.0001082083284560112, 0.00010820832707476119, 0.00010820832709165014, 0.00010820833058806605, 0.00010820832763869806, 0.0001082083305642921]",461.3832082043991,4.3945015979563703e-07,-8.151720555768443e-07,9.057928366695589e-11,8.415453971221488e-06,8.415363391937814e-06,0.9999892365538756,0.00010826252812214689,0.0001082083305642921,-1.132535311374003e-10,-2.1970537430833927e-10,2.1683090419458013e-12,3881071.8699345295,resolved amplitudes and converged final-cycle period/amplitudes
0.015,0.0004,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,10,"[461.3830172965986, 461.3837265309628, 461.38300971013064, 461.3822772147887, 461.3825094567874, 461.38239080122867, 461.3823503964768, 461.3831963682869, 461.38396679069047, 461.383102729179]","[8.415363269525807e-06, 8.415363302334676e-06, 8.415363233598e-06, 8.415363225494453e-06, 8.415363203201823e-06, 8.415363439031803e-06, 8.415363374887248e-06, 8.415363388798277e-06, 8.415363425087025e-06, 8.415363377696844e-06]","[0.00010820832808906818, 0.00010820832938315055, 0.00010820832724546942, 0.00010820832727255056, 0.00010820832656882968, 0.00010820833187521597, 0.00010820833055188472, 0.00010820833052595595, 0.00010820833202022966, 0.00010820833073184526]",461.3834219627188,8.390929244445899e-07,-2.0295290963548278e-07,9.057930424744907e-11,8.415453957001091e-06,8.415363377696844e-06,0.999989236532118,0.00010826252814029342,0.00010820833073184526,-1.3191863282953206e-09,1.9027122297293533e-09,2.1683081438340683e-12,3881073.5465008877,resolved amplitudes and converged final-cycle period/amplitudes
0.0225,0.0,STEADY_STATE,STEADY_STATE,STEADY_STATE,AGREE,NOT_TESTED_NON_BOUNDARY,0,[],[],[],,,,,,,0.0,,,,,2e-12,0.0,post-transient signal is within the numerical floor
0.0225,1e-08,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,10,"[526.8685529255006, 526.8687852274145, 526.8682298086185, 526.8686808310076, 526.8688870524056, 526.8686425381261, 526.8681985010694, 526.868714638068, 526.8687526732701, 526.8689249324088]","[8.371450073719013e-06, 8.371450025994961e-06, 8.371450008444083e-06, 8.371450050064405e-06, 8.371450042501185e-06, 8.371450101543932e-06, 8.371450068394605e-06, 8.371450046165028e-06, 8.37145002040782e-06, 8.371450086108676e-06]","[0.00026001943626928844, 0.0002600194331782107, 0.0002600194319528399, 0.00026001943306341467, 0.0002600194326951786, 0.00026001943755302935, 0.00026001943638287895, 0.0002600194326672828, 0.0002600194327146342, 0.00026001943906530436]",526.8687974145823,1.736598581067232e-07,3.9913986530175014e-07,9.322268549243353e-11,8.371543308794169e-06,8.371450086108676e-06,0.9999888643369502,0.0002601600167631817,0.00026001943906530436,4.771413273365584e-09,2.4605935892909054e-08,2.1674308376893507e-12,3862383.922401157,resolved amplitudes and converged final-cycle period/amplitudes
0.0225,1e-06,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,10,"[526.8687843751486, 526.8679804401227, 526.8677646268336, 526.8680929804018, 526.8688022529391, 526.8681934478614, 526.8686823209541, 526.8687606185331, 526.8689477129155, 526.8678876177719]","[8.37145004738485e-06, 8.371450015797731e-06, 8.371450078296703e-06, 8.371450045329579e-06, 8.371450046679665e-06, 8.371450020810008e-06, 8.371450045787875e-06, 8.371450046030258e-06, 8.371450047776866e-06, 8.371450064439125e-06]","[0.00026001943599030853, 0.0002600194315491871, 0.00026001943467608035, 0.00026001943553310964, 0.00026001943273376923, 0.000260019431590421, 0.00026001943267487277, 0.00026001943266595716, 0.0002600194326538196, 0.0002600194359744879]",526.8685319830735,8.768654779199324e-07,-1.6569612876994688e-06,9.322269365265801e-11,8.371543287132772e-06,8.371450064439125e-06,0.9999888643359467,0.00026016001525103584,0.0002600194359744879,2.1990057608115957e-09,1.2724167197090302e-08,2.1674308649786393e-12,3862383.8855929375,resolved amplitudes and converged final-cycle period/amplitudes
0.0225,0.0004,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,9,"[526.8689044934775, 526.8680054064421, 526.8678754893183, 526.8681068948254, 526.8680889347038, 526.868770891539, 526.8685972916837, 526.86804506301, 526.8680030160367]","[8.371450064940494e-06, 8.37145009137826e-06, 8.371450001075768e-06, 8.371450034903722e-06, 8.371450013859534e-06, 8.37145001269842e-06, 8.371450035142619e-06, 8.371450054298523e-06, 8.371450015544304e-06]","[0.0002600194370527356, 0.00026001943720755185, 0.0002600194313671282, 0.00026001943165553137, 0.00026001943125019593, 0.00026001943261236526, 0.00026001943278928716, 0.00026001943526204906, 0.0002600194311950565]",526.8682151235768,5.139393390576873e-07,-1.1279398338316004e-06,9.322284066636488e-11,8.371543238384979e-06,8.371450015544304e-06,0.9999888643183208,0.00026016001046900034,0.0002600194311950565,-2.3410895986551918e-09,-6.131198127059883e-09,2.1674307746695396e-12,3862384.0324592,resolved amplitudes and converged final-cycle period/amplitudes
0.0255,0.0,STEADY_STATE,STEADY_STATE,STEADY_STATE,AGREE,NOT_TESTED_NON_BOUNDARY,0,[],[],[],,,,,,,0.0,,,,,2e-12,0.0,post-transient signal is within the numerical floor
0.0255,1e-08,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,9,"[561.775756250221, 561.7756496716379, 561.7752955450671, 561.7753607270984, 561.7752014817329, 561.7753071930283, 561.7754793688068, 561.7752063688686, 561.7753288958156]","[7.967695545192082e-06, 7.967695549027025e-06, 7.967695506297515e-06, 7.967695502250025e-06, 7.967695484843688e-06, 7.967695519358385e-06, 7.967695505412669e-06, 7.967695517115259e-06, 7.967695482174454e-06]","[0.00033670568519841333, 0.0003367056845867267, 0.0003367056778927228, 0.0003367056772011669, 0.00033670567638373366, 0.0003367056844679145, 0.0003367056777408335, 0.00033670568371519744, 0.00033670567765238334]",561.7753382111637,1.987382311159751e-07,-2.6785261113038754e-07,9.432299002053615e-11,7.967789805164475e-06,7.967695482174454e-06,0.9999881619630628,0.00033689322202247896,0.00033670567765238334,-2.916554111806166e-09,-2.6269273176884066e-10,2.1593557225894165e-12,3689848.5038027447,resolved amplitudes and converged final-cycle period/amplitudes
0.0255,1e-06,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,9,"[561.7754350948535, 561.7752399467438, 561.7753941203978, 561.7753302419478, 561.7754697175146, 561.7754802752588, 561.7755236598978, 561.7755384723614, 561.775082796159]","[7.967695500976615e-06, 7.967695497641267e-06, 7.967695480194085e-06, 7.967695484836388e-06, 7.967695482856464e-06, 7.967695505417414e-06, 7.967695542580781e-06, 7.967695502802221e-06, 7.967695536632111e-06]","[0.00033670567766030333, 0.00033670567721401205, 0.0003367056778144394, 0.0003367056777447609, 0.0003367056784751699, 0.0003367056777511172, 0.00033670568486202475, 0.0003367056772854074, 0.00033670568011492095]",561.7753816428061,3.763123207667957e-07,-7.847687049621151e-07,9.432298915893332e-11,7.967789859621265e-06,7.967695536632111e-06,0.9999881619632519,0.00033689322517863794,0.00033670568011492095,-7.465985637263373e-10,-1.4098674531818488e-08,2.159355796410004e-12,3689848.3872128725,resolved amplitudes and converged final-cycle period/amplitudes
0.0255,0.0004,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,8,"[561.77550403594, 561.7752068850245, 561.7749776557771, 561.775093498271, 561.7755620936873, 561.775442244375, 561.7754782352031, 561.7752182759796]","[7.967695522178388e-06, 7.967695513947927e-06, 7.967695484625543e-06, 7.967695485183275e-06, 7.967695542070462e-06, 7.967695482662328e-06, 7.967695505460575e-06, 7.967695516702896e-06]","[0.00033670568408698787, 0.00033670567646177426, 0.00033670567703830847, 0.0003367056764483505, 0.0003367056849413791, 0.0003367056784485391, 0.0003367056777442946, 0.0003367056837207325]",561.7753795851859,2.0471759403785806e-07,-3.9867962096957756e-07,9.43229853136936e-11,7.967789839688204e-06,7.967695516702896e-06,0.999988161963705,0.00033689322803610525,0.0003367056837207325,4.272322975660006e-09,1.5658165853048605e-08,2.1593556732351287e-12,3689848.5883639506,resolved amplitudes and converged final-cycle period/amplitudes
