parameter,reaction,confidence,role,fractional_perturbation,observable,normalized_sensitivity,minus_value,plus_value,status
k_minus3_DKE,R3,MEASURED_DERIVED,reverse,0.02,mean_period_s,-0.3740968785282333,530.8924187455735,523.0063098315563,OK
k_minus3_DKE,R3,MEASURED_DERIVED,reverse,0.02,iodine_peak_M,-0.8922932042938175,0.0002648951798381473,0.0002556061317236245,OK
k_minus3_DKE,R3,MEASURED_DERIVED,reverse,0.02,iodide_min_M,0.28159357228507614,9.269646520710902e-11,9.374661761238773e-11,OK
k_minus3_DKE,R3,MEASURED_DERIVED,reverse,0.02,iodide_max_M,-0.27680529924070457,8.418210750721653e-06,8.325504354376114e-06,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.005,mean_period_s,0.5934022876388503,525.3080938113056,528.4345772490785,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.005,iodine_peak_M,2.092223647806958,0.00025744456588146583,0.00026288766972568133,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.005,iodide_min_M,-0.04358236810724783,9.324293278677565e-11,9.320230382417283e-11,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.005,iodide_max_M,0.654283903275489,8.344014330879982e-06,8.39878732000575e-06,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.01,mean_period_s,0.5933816376019074,523.750194354614,530.0031080014256,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.01,iodine_peak_M,2.0922335066315383,0.00025474126861140537,0.00026562737005854896,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.01,iodide_min_M,-0.043584703173914885,9.326361616705192e-11,9.31823515416991e-11,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.01,iodide_max_M,0.654343749853886,8.316194910192334e-06,8.4257468479255e-06,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.02,mean_period_s,0.5933082046949559,520.6451783644166,533.1507746283735,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.02,iodine_peak_M,2.092273332684202,0.0002493714476451348,0.00027114280485931146,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.02,iodide_min_M,-0.04359833951512192,9.330573613493083e-11,9.314313726828704e-11,OK
k4_DKE,R4,GLOBAL_FIT,forward,0.02,iodide_max_M,0.6545832841505341,8.259675239811292e-06,8.478826814284264e-06,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.005,mean_period_s,-0.16996000299823388,527.3185580162171,526.4230811086958,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.005,iodine_peak_M,-0.5860473781688293,0.0002609249336245287,0.0002594002492365131,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.005,iodide_min_M,0.05183469945471354,9.319831203011482e-11,9.324663402043596e-11,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.005,iodide_max_M,-0.18346898749767765,8.379233345472826e-06,8.36387401700921e-06,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.01,mean_period_s,-0.16996287395169554,527.7701277595149,525.9790873310365,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.01,iodine_peak_M,-0.5860414163917763,0.00026169495247012033,0.00025864547531706804,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.01,iodide_min_M,0.051833804550537085,9.317407655943634e-11,9.327072120442252e-11,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.01,iodide_max_M,-0.1834651359651757,8.386941734843352e-06,8.35622287560379e-06,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.02,mean_period_s,-0.16995970660930038,528.6809928799078,525.0985278033306,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.02,iodine_peak_M,-0.586017162388582,0.00026325061903560785,0.00025715080170030574,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.02,iodide_min_M,0.051829816157005354,9.312546006329402e-11,9.331875315510649e-11,OK
k_minus4_DKE,R4,LITERATURE_ESTIMATE,reverse,0.02,iodide_max_M,-0.18344963831206443,8.402416468234292e-06,8.340977161069523e-06,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.005,mean_period_s,-0.15939778500581905,527.2906718246871,526.4508446853977,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.005,iodine_peak_M,-0.607023490672931,0.00026095229058838544,0.00025937303380371013,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.005,iodide_min_M,0.07918526502341182,9.318551556500011e-11,9.325933460066886e-11,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.005,iodide_max_M,-0.19004668049762027,8.379508214054376e-06,8.36359822725696e-06,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.01,mean_period_s,-0.15939696896868924,527.7142372369476,526.034539058162,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.01,iodine_peak_M,-0.6070174322871684,0.0002617498111293227,0.00025859118408717147,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.01,iodide_min_M,0.07918580592287786,9.314838708832291e-11,9.329602949287543e-11,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.01,iodide_max_M,-0.19004275652353983,8.387490563818598e-06,8.355670376845392e-06,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.02,mean_period_s,-0.1593955674428424,528.5687667714858,525.2089800968208,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.02,iodine_peak_M,-0.6069930256507482,0.0002633609249857402,0.00025704276469186926,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.02,iodide_min_M,0.07918493548288154,9.307368902421715e-11,9.336899719751493e-11,OK
k5_DKE,R5,GLOBAL_FIT,forward,0.02,iodide_max_M,-0.19002707169906446,8.403510509907259e-06,8.339868424464057e-06,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.005,mean_period_s,0.33523927440625073,525.9847676833878,527.7510489011192,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.005,iodine_peak_M,1.1670127408546622,0.0002586407098425571,0.0002616767864228989,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.005,iodide_min_M,-0.1361268435435271,9.32862610959716e-11,9.315935878940433e-11,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.005,iodide_max_M,0.3654375571848083,8.35617095286289e-06,8.3867636593818e-06,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.01,mean_period_s,0.3352382311429939,525.0966807171388,528.6292775028476,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.01,iodine_peak_M,1.1670308431260368,0.0002571187890729036,0.00026319089024692295,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.01,iodide_min_M,-0.13613548716728158,9.33506599029047e-11,9.309683039927306e-11,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.01,iodide_max_M,0.36546310944392324,8.340642116160946e-06,8.401831447914381e-06,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.02,mean_period_s,0.3352323187818078,523.310522171527,530.3759536578989,OK
